name,bom,softVersion,asset,isFRU,vendorType,alias,mfgName,phyClass,deviceIp,deviceName,remark,phyIndex,firmwareVersion,boardNum,serialNum,cleiCode,serverDate,assetNumber,buildInfo,desc,relPos,containedIn,model,hardVersion,physicalFlag,devId
2811 chassis,,"15.1(4)M, RELEASE SOFTWARE (fc1)",http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=1,2,1.3.6.1.4.1.9.12.3.1.3.436,,Cisco,3,10.101.0.1,router.lab.local,,1,"System Bootstrap, Version 12.4(13r)T11, RELEASE SOFTWARE (fc1)",FHK1119F1DX,FHK1119F1DX,,2016-01-26T15:20:40-05:00,,,2811 chassis,-1,0,CISCO2811,V04 ,0,15
2nd generation two port FXO voice interface daughtercard on Slot 0 SubSlot 2,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=14,1,1.3.6.1.4.1.9.12.3.1.9.3.114,,Cisco,9,10.101.0.1,router.lab.local,,14,,FOC11063NZ4,FOC11063NZ4,,2016-01-26T15:20:40-05:00,,,2nd generation two port FXO voice interface daughtercard,0,13,VIC2-2FXO,V01 ,0,15
40GB IDE Disc Daughter Card on Slot 1 SubSlot 0,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=30,1,1.3.6.1.4.1.9.12.3.1.9.15.25,,Cisco,9,10.101.0.1,router.lab.local,,30,,FOC11163P04,FOC11163P04,,2016-01-26T15:20:40-05:00,,,40GB IDE Disc Daughter Card,0,29, ,,0,15
AIM Container Slot 0,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=25,2,1.3.6.1.4.1.9.12.3.1.5.2,,Cisco,5,10.101.0.1,router.lab.local,,25,,,,,2016-01-26T15:20:40-05:00,,,AIM Container Slot 0,6,3,,,0,15
AIM Container Slot 1,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=26,2,1.3.6.1.4.1.9.12.3.1.5.2,,Cisco,5,10.101.0.1,router.lab.local,,26,,,,,2016-01-26T15:20:40-05:00,,,AIM Container Slot 1,7,3,,,0,15
C2811 Chassis Slot 0,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=2,2,1.3.6.1.4.1.9.12.3.1.5.1,,Cisco,5,10.101.0.1,router.lab.local,,2,,,,,2016-01-26T15:20:40-05:00,,,C2811 Chassis Slot,0,1,,,0,15
C2811 Chassis Slot 1,,,http://kontrolissues.thruhere.net:8086/imcrs/netasset/asset/detail?devId=15&phyIndex=27,2,1.3.6.1.4.1.9.12.3.1.5.1,,Cisco,5,10.101.0.1,router.lab.local,,27,,,,,2016-01-26T15:20:40-05:00,,,C2811 Chassis Slot,1,1,,,0,15
